OBJECTID,FID_Wuhan,name,FID_t20130101start,T_TargetID,T_UTCTime,t1,t2,OD,T_Longitud,T_Latitude
11164,18,江汉区,37,MMC8000GPSANDASYN051113-16066-00000000,1357044500,0,262144,38,114.287278,30.593203
11269,18,江汉区,37,MMC8000GPSANDASYN051113-16066-00000000,1357044530,262144,0,38,114.287278,30.593203
10363,17,硚口区,38,MMC8000GPSANDASYN051113-16066-00000000,1357046230,0,262144,39,114.275481,30.586823
6800,16,汉阳区,38,MMC8000GPSANDASYN051113-16066-00000000,1357046680,262144,0,39,114.260496,30.554778
6386,16,汉阳区,39,MMC8000GPSANDASYN051113-16066-00000000,1357047710,0,262144,40,114.219133,30.550538
6307,16,汉阳区,39,MMC8000GPSANDASYN051113-16066-00000000,1357047740,262144,0,40,114.219381,30.551435
5949,14,武昌区,40,MMC8000GPSANDASYN051113-16066-00000000,1357049290,0,262144,41,114.338291,30.54685
5836,14,武昌区,40,MMC8000GPSANDASYN051113-16066-00000000,1357049470,262144,0,41,114.328773,30.547188
5773,14,武昌区,41,MMC8000GPSANDASYN051113-16066-00000000,1357050240,0,262144,42,114.302081,30.545081
6458,16,汉阳区,41,MMC8000GPSANDASYN051113-16066-00000000,1357050740,262144,0,42,114.260171,30.552266
7235,16,汉阳区,42,MMC8000GPSANDASYN051113-16066-00000000,1357051140,0,262144,43,114.226818,30.559046
1065,12,洪山区,42,MMC8000GPSANDASYN051113-16256-00000000,1356971490,262144,0,43,114.276685,30.491278
831,12,洪山区,43,MMC8000GPSANDASYN051113-16256-00000000,1356971640,0,262144,44,114.272406,30.476698
1845,12,洪山区,43,MMC8000GPSANDASYN051113-16256-00000000,1356971940,262144,0,44,114.290213,30.506946
4652,14,武昌区,44,MMC8000GPSANDASYN051113-16256-00000000,1356974780,0,262144,45,114.310015,30.532475
4381,14,武昌区,44,MMC8000GPSANDASYN051113-16256-00000000,1356975070,262144,0,45,114.310018,30.532461
4824,14,武昌区,45,MMC8000GPSANDASYN051113-16256-00000000,1356975470,0,262144,46,114.311048,30.533468
4383,14,武昌区,45,MMC8000GPSANDASYN051113-16256-00000000,1356975680,262144,0,46,114.310018,30.532471
3781,14,武昌区,46,MMC8000GPSANDASYN051113-16256-00000000,1356975850,0,262144,47,114.303015,30.524
3508,14,武昌区,46,MMC8000GPSANDASYN051113-16256-00000000,1356976010,262144,0,47,114.30263,30.523746
583,15,江夏区,47,MMC8000GPSANDASYN051113-16256-00000000,1356976490,0,262144,48,114.260378,30.466828
2532,12,洪山区,47,MMC8000GPSANDASYN051113-16256-00000000,1356977200,262144,0,48,114.292873,30.511528
3791,14,武昌区,48,MMC8000GPSANDASYN051113-16256-00000000,1356977660,0,262144,49,114.322453,30.52414
3581,14,武昌区,48,MMC8000GPSANDASYN051113-16256-00000000,1356977850,262144,0,49,114.324365,30.524681
16630,13,青山区,49,MMC8000GPSANDASYN051113-16256-00000000,1356980520,0,262144,50,114.410496,30.646818
16777,13,青山区,49,MMC8000GPSANDASYN051113-16256-00000000,1356980620,262144,0,50,114.40665,30.645785
13935,13,青山区,50,MMC8000GPSANDASYN051113-16256-00000000,1356981190,0,262144,51,114.373493,30.616911
14180,13,青山区,50,MMC8000GPSANDASYN051113-16256-00000000,1356981270,262144,0,51,114.373485,30.617063
14452,13,青山区,51,MMC8000GPSANDASYN051113-16256-00000000,1356981540,0,262144,52,114.381695,30.620668
4071,14,武昌区,51,MMC8000GPSANDASYN051113-16256-00000000,1357048150,262144,0,52,114.291883,30.529756
3831,14,武昌区,52,MMC8000GPSANDASYN051113-16580-00000000,1356972480,0,262144,53,114.310918,30.524661
4591,14,武昌区,52,MMC8000GPSANDASYN051113-16580-00000000,1356972710,262144,0,53,114.311348,30.534271
2371,12,洪山区,53,MMC8000GPSANDASYN051113-16580-00000000,1356973770,0,262144,54,114.39466,30.508203
1462,12,洪山区,53,MMC8000GPSANDASYN051113-16580-00000000,1356975220,262144,0,54,114.390133,30.50048
2240,12,洪山区,54,MMC8000GPSANDASYN051113-16580-00000000,1356975610,0,262144,55,114.369953,30.50744
6071,14,武昌区,54,MMC8000GPSANDASYN051113-16580-00000000,1356976510,262144,0,55,114.330325,30.548931
3948,14,武昌区,55,MMC8000GPSANDASYN051113-16580-00000000,1356976880,0,262144,56,114.32486,30.526295
8410,17,硚口区,55,MMC8000GPSANDASYN051113-16580-00000000,1356978070,262144,0,56,114.263295,30.57167
13772,19,江岸区,56,MMC8000GPSANDASYN051113-16580-00000000,1356978840,0,262144,57,114.280583,30.61595
11882,18,江汉区,56,MMC8000GPSANDASYN051113-16580-00000000,1356979470,262144,0,57,114.288606,30.598461
8302,14,武昌区,57,MMC8000GPSANDASYN051113-16580-00000000,1356980270,0,262144,58,114.308985,30.57025
8199,14,武昌区,57,MMC8000GPSANDASYN051113-16580-00000000,1356980330,262144,0,58,114.310168,30.569476
5560,14,武昌区,58,MMC8000GPSANDASYN051113-16580-00000000,1356980670,0,262144,59,114.313346,30.542333
4596,14,武昌区,58,MMC8000GPSANDASYN051113-16580-00000000,1356981020,262144,0,59,114.311211,30.534363
14057,17,硚口区,59,MMC8000GPSANDASYN051113-16580-00000000,1356983070,0,262144,60,114.127536,30.617923
14525,17,硚口区,59,MMC8000GPSANDASYN051113-16580-00000000,1356983330,262144,0,60,114.131596,30.619618
14628,17,硚口区,60,MMC8000GPSANDASYN051113-16580-00000000,1356984010,0,262144,61,114.148726,30.621555
14862,17,硚口区,60,MMC8000GPSANDASYN051113-16580-00000000,1356984020,262144,0,61,114.148726,30.621555
15069,18,江汉区,61,MMC8000GPSANDASYN051113-16580-00000000,1356984250,0,262144,62,114.148225,30.625328
13765,17,硚口区,61,MMC8000GPSANDASYN051113-16580-00000000,1356984720,262144,0,62,114.175958,30.613998
9480,17,硚口区,62,MMC8000GPSANDASYN051113-16580-00000000,1356985500,0,262144,63,114.224381,30.580555
9673,17,硚口区,62,MMC8000GPSANDASYN051113-16580-00000000,1356985690,262144,0,63,114.230473,30.581555
16136,18,江汉区,63,MMC8000GPSANDASYN051113-16580-00000000,1356987180,0,262144,64,114.229328,30.639186
16351,18,江汉区,63,MMC8000GPSANDASYN051113-16580-00000000,1356987540,262144,0,64,114.251661,30.638341
16089,18,江汉区,64,MMC8000GPSANDASYN051113-16580-00000000,1356987560,0,262144,65,114.251898,30.637811
16408,19,江岸区,64,MMC8000GPSANDASYN051113-16580-00000000,1357000740,262144,0,65,114.30547,30.639748
14276,18,江汉区,65,MMC8000GPSANDASYN051113-16580-00000000,1357001280,0,262144,66,114.258925,30.619355
14531,18,江汉区,65,MMC8000GPSANDASYN051113-16580-00000000,1357001450,262144,0,66,114.26222,30.619675
11447,17,硚口区,66,MMC8000GPSANDASYN051113-16580-00000000,1357002050,0,262144,67,114.208276,30.595741
13793,18,江汉区,66,MMC8000GPSANDASYN051113-16580-00000000,1357003360,262144,0,67,114.252313,30.614155
14145,18,江汉区,67,MMC8000GPSANDASYN051113-16580-00000000,1357003700,0,262144,68,114.266275,30.61855
10747,18,江汉区,67,MMC8000GPSANDASYN051113-16580-00000000,1357005340,262144,0,68,114.285818,30.589151
10518,18,江汉区,68,MMC8000GPSANDASYN051113-16580-00000000,1357005940,0,262144,69,114.296905,30.587948
6124,16,汉阳区,68,MMC8000GPSANDASYN051113-16580-00000000,1357007580,262144,0,69,114.255378,30.549645
11598,18,江汉区,69,MMC8000GPSANDASYN051113-16580-00000000,1357008370,0,262144,70,114.260791,30.597306
11767,18,江汉区,69,MMC8000GPSANDASYN051113-16580-00000000,1357008430,262144,0,70,114.260791,30.597306
14144,18,江汉区,70,MMC8000GPSANDASYN051113-16580-00000000,1357008870,0,262144,71,114.251361,30.61855
15348,19,江岸区,70,MMC8000GPSANDASYN051113-16580-00000000,1357009500,262144,0,71,114.27938,30.625775
13096,19,江岸区,71,MMC8000GPSANDASYN051113-16580-00000000,1357011420,0,262144,72,114.300888,30.611208
13331,19,江岸区,71,MMC8000GPSANDASYN051113-16580-00000000,1357011430,262144,0,72,114.300888,30.611208
14221,19,江岸区,72,MMC8000GPSANDASYN051113-16580-00000000,1357011830,0,262144,73,114.297115,30.619035
10774,14,武昌区,72,MMC8000GPSANDASYN051113-16580-00000000,1357012860,262144,0,73,114.342181,30.58943
12767,13,青山区,73,MMC8000GPSANDASYN051113-16580-00000000,1357013890,0,262144,74,114.417456,30.608955
14084,14,武昌区,73,MMC8000GPSANDASYN051113-16580-00000000,1357020510,262144,0,74,114.362085,30.616368
15116,13,青山区,74,MMC8000GPSANDASYN051113-16580-00000000,1357020790,0,262144,75,114.360418,30.62573
15446,13,青山区,74,MMC8000GPSANDASYN051113-16580-00000000,1357020870,262144,0,75,114.361211,30.626531
16061,13,青山区,75,MMC8000GPSANDASYN051113-16580-00000000,1357021350,0,262144,76,114.391936,30.63758
16064,13,青山区,75,MMC8000GPSANDASYN051113-16580-00000000,1357021630,262144,0,76,114.39028,30.633216
10896,14,武昌区,76,MMC8000GPSANDASYN051113-16580-00000000,1357023190,0,262144,77,114.33953,30.591153
16368,19,江岸区,76,MMC8000GPSANDASYN051113-16580-00000000,1357029020,262144,0,77,114.286246,30.63872
12102,18,江汉区,77,MMC8000GPSANDASYN051113-16580-00000000,1357030410,0,262144,78,114.265978,30.60273
16884,19,江岸区,77,MMC8000GPSANDASYN051113-16580-00000000,1357035140,262144,0,78,114.292711,30.648228
560,20,东西湖区,78,MMC8000GPSANDASYN051113-16580-00000000,1357037810,0,262144,79,114.122143,30.465763
1555,20,东西湖区,78,MMC8000GPSANDASYN051113-16580-00000000,1357039040,262144,0,79,114.160143,30.502175
1788,20,东西湖区,79,MMC8000GPSANDASYN051113-16580-00000000,1357039120,0,262144,80,114.162125,30.50162
1527,20,东西湖区,79,MMC8000GPSANDASYN051113-16580-00000000,1357039130,262144,0,80,114.162125,30.50162
590,20,东西湖区,80,MMC8000GPSANDASYN051113-16580-00000000,1357039720,0,262144,81,114.132123,30.46722
439,20,东西湖区,80,MMC8000GPSANDASYN051113-16580-00000000,1357039720,262144,0,81,114.132123,30.46722
16025,19,江岸区,81,MMC8000GPSANDASYN051113-16580-00000000,1357045110,0,262144,82,114.265646,30.636916
16030,18,江汉区,81,MMC8000GPSANDASYN051113-16580-00000000,1357045250,262144,0,82,114.259223,30.632661
15743,18,江汉区,82,MMC8000GPSANDASYN051113-16580-00000000,1357045410,0,262144,83,114.25312,30.632468
15777,18,江汉区,82,MMC8000GPSANDASYN051113-16580-00000000,1357045540,262144,0,83,114.249903,30.629665
14456,18,江汉区,83,MMC8000GPSANDASYN051113-16580-00000000,1357045920,0,262144,84,114.224908,30.620695
14043,18,江汉区,83,MMC8000GPSANDASYN051113-16580-00000000,1357046380,262144,0,84,114.242661,30.616123
12947,18,江汉区,84,MMC8000GPSANDASYN051113-16580-00000000,1357046730,0,262144,85,114.209188,30.609966
10255,17,硚口区,84,MMC8000GPSANDASYN051113-16580-00000000,1357047220,262144,0,85,114.217475,30.585486
9477,16,汉阳区,85,MMC8000GPSANDASYN051113-16580-00000000,1357048390,0,262144,86,114.142476,30.580538
2741,14,武昌区,85,MMC8000GPSANDASYN051113-16597-00000000,1356997540,262144,0,86,114.283966,30.512981
1872,12,洪山区,86,MMC8000GPSANDASYN051113-16597-00000000,1356998820,0,262144,87,114.360166,30.50321
1173,12,洪山区,86,MMC8000GPSANDASYN051113-16597-00000000,1356999690,262144,0,87,114.391353,30.495506
1772,12,洪山区,87,MMC8000GPSANDASYN051113-16597-00000000,1357004180,0,262144,88,114.38505,30.501313
1466,12,洪山区,87,MMC8000GPSANDASYN051113-16597-00000000,1357004270,262144,0,88,114.386993,30.500498
2016,12,洪山区,88,MMC8000GPSANDASYN051113-16597-00000000,1357004710,0,262144,89,114.398788,30.505365
1000,12,洪山区,88,MMC8000GPSANDASYN051113-16597-00000000,1357005470,262144,0,89,114.404995,30.488148
5874,14,武昌区,89,MMC8000GPSANDASYN051113-16597-00000000,1357007680,0,262144,90,114.308673,30.546271
5976,14,武昌区,89,MMC8000GPSANDASYN051113-16597-00000000,1357008200,262144,0,90,114.297798,30.548225
9239,17,硚口区,90,MMC8000GPSANDASYN051113-16597-00000000,1357009420,0,262144,91,114.255615,30.578581
9277,17,硚口区,90,MMC8000GPSANDASYN051113-16597-00000000,1357009480,262144,0,91,114.255615,30.578581
7944,17,硚口区,91,MMC8000GPSANDASYN051113-16597-00000000,1357009930,0,262144,92,114.257555,30.566963
7927,17,硚口区,91,MMC8000GPSANDASYN051113-16597-00000000,1357010120,262144,0,92,114.256686,30.567033
7506,16,汉阳区,92,MMC8000GPSANDASYN051113-16597-00000000,1357011910,0,262144,93,114.179088,30.561771
9067,16,汉阳区,92,MMC8000GPSANDASYN051113-16597-00000000,1357014110,262144,0,93,114.200181,30.57742
8682,16,汉阳区,93,MMC8000GPSANDASYN051113-16597-00000000,1357014230,0,262144,94,114.204123,30.573795
8676,16,汉阳区,93,MMC8000GPSANDASYN051113-16597-00000000,1357014280,262144,0,94,114.203388,30.573968
10220,16,汉阳区,94,MMC8000GPSANDASYN051113-16597-00000000,1357014820,0,262144,95,114.163735,30.585723
10301,16,汉阳区,94,MMC8000GPSANDASYN051113-16597-00000000,1357014900,262144,0,95,114.167551,30.585803
8116,16,汉阳区,95,MMC8000GPSANDASYN051113-16597-00000000,1357015550,0,262144,96,114.203746,30.56851
8105,16,汉阳区,95,MMC8000GPSANDASYN051113-16597-00000000,1357015580,262144,0,96,114.203746,30.56851
15751,18,江汉区,96,MMC8000GPSANDASYN051113-16597-00000000,1357018060,0,262144,97,114.144853,30.632561
16022,18,江汉区,96,MMC8000GPSANDASYN051113-16597-00000000,1357018110,262144,0,97,114.144853,30.632561
15180,18,江汉区,97,MMC8000GPSANDASYN051113-16597-00000000,1357018380,0,262144,98,114.13303,30.626306
15375,18,江汉区,97,MMC8000GPSANDASYN051113-16597-00000000,1357018590,262144,0,98,114.137853,30.625938
10085,17,硚口区,98,MMC8000GPSANDASYN051113-16597-00000000,1357019860,0,262144,99,114.21727,30.584953
10026,17,硚口区,98,MMC8000GPSANDASYN051113-16597-00000000,1357020010,262144,0,99,114.219193,30.584003
7709,16,汉阳区,99,MMC8000GPSANDASYN051113-16597-00000000,1357020390,0,262144,100,114.204156,30.564583
7200,16,汉阳区,99,MMC8000GPSANDASYN051113-16597-00000000,1357020860,262144,0,100,114.20921,30.559136
6067,16,汉阳区,100,MMC8000GPSANDASYN051113-16597-00000000,1357021490,0,262144,101,114.242028,30.548131
6559,16,汉阳区,100,MMC8000GPSANDASYN051113-16597-00000000,1357022250,262144,0,101,114.251238,30.552756
5208,14,武昌区,101,MMC8000GPSANDASYN051113-16597-00000000,1357023370,0,262144,102,114.320806,30.538248
4926,14,武昌区,101,MMC8000GPSANDASYN051113-16597-00000000,1357023440,262144,0,102,114.320463,30.537838
2046,12,洪山区,102,MMC8000GPSANDASYN051113-16597-00000000,1357024110,0,262144,103,114.30942,30.506036
1782,12,洪山区,102,MMC8000GPSANDASYN051113-16597-00000000,1357024280,262144,0,103,114.308405,30.506465
2394,12,洪山区,103,MMC8000GPSANDASYN051113-16597-00000000,1357025220,0,262144,104,114.36457,30.508395
1456,12,洪山区,103,MMC8000GPSANDASYN051113-16597-00000000,1357025690,262144,0,104,114.387771,30.500426
88,15,江夏区,104,MMC8000GPSANDASYN051113-16597-00000000,1357026990,0,262144,105,114.30612,30.418163
632,12,洪山区,104,MMC8000GPSANDASYN051113-16597-00000000,1357028110,262144,0,105,114.267853,30.478118
753,12,洪山区,105,MMC8000GPSANDASYN051113-16597-00000000,1357028230,0,262144,106,114.265028,30.47451
2821,14,武昌区,105,MMC8000GPSANDASYN051113-16597-00000000,1357030250,262144,0,106,114.282801,30.513811
600,15,江夏区,106,MMC8000GPSANDASYN051113-16597-00000000,1357031160,0,262144,107,114.257093,30.467486
430,15,江夏区,106,MMC8000GPSANDASYN051113-16597-00000000,1357032020,262144,0,107,114.264591,30.466921
2714,14,武昌区,107,MMC8000GPSANDASYN051113-16597-00000000,1357032840,0,262144,108,114.287258,30.510496
1513,12,洪山区,107,MMC8000GPSANDASYN051113-16597-00000000,1357032970,262144,0,108,114.284168,30.501333
786,12,洪山区,108,MMC8000GPSANDASYN051113-16597-00000000,1357033990,0,262144,109,114.265726,30.475723
562,12,洪山区,108,MMC8000GPSANDASYN051113-16597-00000000,1357034030,262144,0,109,114.265726,30.475723
1181,12,洪山区,109,MMC8000GPSANDASYN051113-16597-00000000,1357034760,0,262144,110,114.340318,30.485995
1049,12,洪山区,109,MMC8000GPSANDASYN051113-16597-00000000,1357034920,262144,0,110,114.336808,30.490276
2861,12,洪山区,110,MMC8000GPSANDASYN051113-16597-00000000,1357035520,0,262144,111,114.318203,30.511951
1343,12,洪山区,110,MMC8000GPSANDASYN051113-16597-00000000,1357036440,262144,0,111,114.320186,30.499526
3192,20,东西湖区,111,MMC8000GPSANDASYN051113-16597-00000000,1357039270,0,262144,112,114.171653,30.515846
3350,20,东西湖区,111,MMC8000GPSANDASYN051113-16597-00000000,1357039450,262144,0,112,114.176845,30.521928
3667,20,东西湖区,112,MMC8000GPSANDASYN051113-16597-00000000,1357042080,0,262144,113,114.176933,30.522651
3359,20,东西湖区,112,MMC8000GPSANDASYN051113-16597-00000000,1357042300,262144,0,113,114.176908,30.522028
15790,13,青山区,113,MMC8000GPSANDASYN051113-16597-00000000,1357044860,0,262144,114,114.382456,30.633133
16044,13,青山区,113,MMC8000GPSANDASYN051113-16597-00000000,1357044970,262144,0,114,114.381533,30.632848
1805,12,洪山区,114,MMC8000GPSANDASYN051113-16597-00000000,1357047750,0,262144,115,114.406986,30.501936
1572,12,洪山区,114,MMC8000GPSANDASYN051113-16597-00000000,1357047860,262144,0,115,114.406961,30.502433
2497,12,洪山区,115,MMC8000GPSANDASYN051113-16597-00000000,1357048060,0,262144,116,114.397198,30.509028
2206,12,洪山区,115,MMC8000GPSANDASYN051113-16597-00000000,1357048100,262144,0,116,114.396496,30.508913
2235,12,洪山区,116,MMC8000GPSANDASYN051113-16597-00000000,1357048390,0,262144,117,114.369478,30.507423
1914,12,洪山区,116,MMC8000GPSANDASYN051113-16597-00000000,1357048500,262144,0,117,114.373281,30.507373
1621,12,洪山区,117,MMC8000GPSANDASYN051113-16597-00000000,1357048850,0,262144,118,114.405523,30.499513
1243,12,洪山区,117,MMC8000GPSANDASYN051113-16597-00000000,1357048920,262144,0,118,114.406168,30.497605
3234,12,洪山区,118,MMC8000GPSANDASYN051113-16597-00000000,1357049730,0,262144,119,114.363276,30.516498
3003,12,洪山区,118,MMC8000GPSANDASYN051113-16597-00000000,1357049750,262144,0,119,114.363276,30.516498
3941,12,洪山区,119,MMC8000GPSANDASYN051113-16597-00000000,1357050120,0,262144,120,114.367838,30.526125
2627,12,洪山区,119,MMC8000GPSANDASYN051113-16597-00000000,1357050310,262144,0,120,114.361463,30.512138
599,12,洪山区,120,MMC8000GPSANDASYN051113-16597-00000000,1357050990,0,262144,121,114.378625,30.467431
585,12,洪山区,120,MMC8000GPSANDASYN051113-16597-00000000,1357053150,262144,0,121,114.413351,30.47612
